grid size 	cell count 	atoms count 	search radius 	setup time 	search time 	total time 
1	1	19905	34.243198	3.992949	0.013485	4.006434
2	8	19905	34.243198	3.067808	0.011242	3.079051
3	27	19905	34.243198	3.094242	0.010970	3.105212
4	64	19905	34.243198	3.023152	0.011293	3.034444
5	125	19905	34.243198	2.965717	0.011364	2.977081
6	216	19905	34.243198	3.036323	0.011404	3.047727
7	343	19905	34.243198	3.565354	0.011545	3.576899
8	512	19905	34.243198	3.607071	0.012323	3.619394
9	729	19905	34.243198	3.568455	0.011152	3.579606
10	1000	19905	34.243198	3.077960	0.011152	3.089111
11	1331	19905	34.243198	3.048556	0.011172	3.059727
12	1728	19905	34.243198	3.347313	0.011253	3.358566
13	2197	19905	34.243198	3.410636	0.011475	3.422111
14	2744	19905	34.243198	3.004131	0.010960	3.015091
15	3375	19905	34.243198	3.319232	0.011404	3.330636
16	4096	19905	34.243198	3.052000	0.011040	3.063040
17	4913	19905	34.243198	3.314909	0.011434	3.326343
18	5832	19905	34.243198	3.298444	0.011242	3.309687
19	6859	19905	34.243198	3.437354	0.011657	3.449010
20	8000	19905	34.243198	3.222889	0.011818	3.234707
